state,x,y
Alabama,127,-67
Alaska,-204,-170
Arizona,-203,-40
Arkansas,51,-53
California,-310,13
Colorado,-112,20
Connecticut,297,90
Delaware,275,42
Florida,210,-145
Georgia,175,-75
Hawaii,-317,-143
Idaho,-216,122
Illinois,90,37
Indiana,127,39
Iowa,38,65
Kansas,-17,5
Kentucky,149,1
Louisiana,51,-125
Maine,319,164
Maryland,282,27
Massachusetts,307,112
Michigan,139,101
Minnesota,19,135
Mississippi,86,-85
Missouri,49,6
Montana,-141,150
Nebraska,-61,66
Nevada,-257,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-134,-43
New York,236,104
North Carolina,215,-22
North Dakota,-50,158
Ohio,176,52
Oklahoma,-8,-41
Oregon,-278,138
Pennsylvania,216,72
Rhode Island,305,100
South Carolina,209,-60
South Dakota,-50,109
Tennessee,131,-34
Texas,-38,-106
Utah,-189,34
Vermont,275,138
Virginia,234,5
Washington,-270,193
West Virginia,190,20
Wisconsin,73,113
Wyoming,-134,90
